argumentUsageRatio,exprSize,generationTime,ERITime,totalTime,expectedType,totalVars,totalLams,totalLamExts,totalApps,totalTuples,totalMaybes,totalLets,totalPMs
0.45,117,0.053787,0.057146,0.111856,TFunc (TList (TInt), TList (TInt)),224,13,5,94,16,3,5,8
0.444444444444,78,0.077353,0.023631,0.10132,TList (TInt),150,14,3,58,16,1,5,5
0.642857142857,98,0.051915,0.061681,0.11399,TList (TBool),200,12,2,82,12,4,2,8
0.6,46,0.000707,0.025893,0.026968,TInt,95,3,1,41,7,2,3,1
0.7,66,0.010259,0.908658,0.919291,TInt,124,6,3,54,8,3,2,2
0.53125,181,0.006756,0.152101,0.159413,TList (TInt),363,16,6,153,23,4,12,9
0.625,181,0.049107,0.124701,0.174385,TList (TInt),375,12,4,161,25,4,12,8
0.5,102,0.07939,0.072534,0.152249,TList (TInt),229,4,2,94,11,2,12,2
0.727272727273,113,0.000947,0.116026,0.117451,TBool,238,4,4,101,14,4,6,4
0.727272727273,90,0.036755,0.051436,0.08852,TInt,202,10,1,78,7,6,6,8
0.333333333333,76,0.013009,0.034271,0.047633,TList (TInt),152,8,1,66,12,1,3,5
0.642857142857,118,0.037071,0.070001,0.107425,TInt,235,8,6,98,15,4,7,8
0.,52,0.004105,0.128737,0.133165,TInt,110,3,0,49,11,0,5,3
0.5,74,0.030742,0.045254,0.076529,TList (TInt),149,7,1,65,11,2,7,5
0.444444444444,58,0.020341,0.02991,0.050542,TList (TInt),102,6,3,46,4,1,2,3
0.454545454545,71,0.028188,0.023759,0.052223,TFunc (TList (TInt), TList (TInt)),130,7,4,56,7,2,5,2
0.5,67,0.015766,0.037754,0.053831,TList (TBool),121,6,4,53,20,0,2,2
0.75,28,0.014994,0.022286,0.037614,TFunc (TList (TInt), TList (TInt)),62,4,0,24,5,0,2,3
0.384615384615,95,0.05972,0.06846,0.128705,TBool,209,12,1,81,14,2,6,4
0.423076923077,167,0.121855,0.175918,0.298455,TBool,314,18,6,137,21,5,11,9
0.714285714286,133,0.051673,0.082439,0.134597,TBool,247,10,7,109,16,4,4,8
0.5,42,0.004934,0.049071,0.054439,TFunc (TList (TInt), TList (TInt)),88,1,1,39,10,2,0,3
0.875,56,0.022812,0.043126,0.066206,TBool,96,5,3,45,12,1,2,1
0.71875,173,0.052154,0.156093,0.208728,TList (TInt),335,17,8,140,18,8,11,12
0.571428571429,83,0.026505,0.076257,0.103053,TList (TInt),147,7,5,66,13,1,6,4
0.5,69,0.01269,0.045023,0.058104,TBool,164,2,0,67,15,7,6,8
0.631578947368,114,0.046621,0.04826,0.09522,TList (TBool),216,13,4,93,11,1,4,2
0.75,71,0.016464,0.035549,0.052353,TList (TBool),139,8,2,59,11,1,2,5
0.428571428571,105,0.115316,0.098718,0.214444,TFunc (TList (TInt), TList (TInt)),201,8,3,91,14,7,5,3
0.4,77,0.009245,0.072495,0.082103,TFunc (TList (TInt), TList (TInt)),182,5,0,72,16,3,4,8
0.583333333333,69,0.014769,0.053905,0.069034,TBool,156,10,1,57,7,3,3,6
0.5,63,0.020016,1.456577,1.47693,TBool,127,8,2,51,7,2,3,5
0.333333333333,73,0.033041,0.051756,0.085162,TInt,140,8,1,63,6,1,3,3
0.75,132,0.026305,1.355563,1.382281,TBool,270,14,4,110,19,5,13,9
0.533333333333,108,0.16936,0.09735,0.268195,TFunc (TList (TInt), TList (TInt)),234,14,1,92,11,9,11,9
0.7,83,0.030024,0.065631,0.096082,TList (TBool),160,5,4,70,15,1,6,4
0.375,117,0.183378,0.796713,0.980519,TBool,238,14,2,99,14,4,11,7
0.714285714286,67,0.021838,0.035759,0.05797,TList (TInt),122,4,3,57,15,2,4,3
0.454545454545,92,0.074426,0.076313,0.151164,TFunc (TList (TInt), TList (TInt)),179,6,3,80,12,2,3,5
0.5,48,0.014375,0.050362,0.065045,TFunc (TList (TInt), TList (TInt)),109,2,0,46,12,2,3,6
0.,39,0.011987,0.030663,0.042953,TBool,86,1,1,36,5,3,5,2
0.533333333333,78,0.041201,0.045739,0.087277,TList (TInt),147,12,2,62,10,4,3,4
0.111111111111,54,0.027051,0.028356,0.055741,TList (TInt),103,8,1,44,4,0,1,2
0.875,63,0.005525,0.031484,0.037309,TList (TBool),133,2,3,55,9,2,4,7
0.6,81,0.115178,0.078544,0.19445,TInt,169,9,1,70,7,2,6,2
0.5,86,0.015288,0.064764,0.080711,TList (TInt),155,8,6,66,16,1,5,2
0.285714285714,87,0.054175,0.066095,0.120607,TInt,172,5,2,78,15,1,4,5
1.,67,0.014824,0.061252,0.076671,TInt,143,3,2,60,12,0,1,8
0.526315789474,135,0.083106,0.160888,0.244425,TList (TInt),264,12,6,111,15,4,9,12
0.2,55,0.011586,0.028808,0.040803,TFunc (TList (TInt), TList (TInt)),115,5,0,50,9,2,4,1
0.611111111111,156,0.215136,0.188048,0.403656,TInt,320,7,4,141,17,4,9,6
0.625,63,0.032289,0.045879,0.078644,TInt,132,7,1,54,10,3,1,2
0.793103448276,151,0.015234,0.137508,0.15341,TList (TInt),308,11,5,130,17,5,11,6
0.5,44,0.006807,0.020644,0.027677,TList (TBool),97,2,0,42,7,0,2,0
0.714285714286,123,0.078708,0.088592,0.168181,TList (TInt),246,8,4,107,13,2,6,7
0.478260869565,128,0.086555,0.679235,0.76625,TFunc (TList (TInt), TList (TInt)),238,17,6,99,21,5,8,11
0.666666666667,91,0.017884,0.290847,0.309052,TFunc (TList (TInt), TList (TInt)),168,10,5,71,6,1,4,4
0.555555555556,63,0.005991,0.02683,0.033115,TList (TInt),112,5,3,52,5,2,2,1
0.684210526316,106,0.015289,0.053835,0.069578,TList (TInt),210,8,2,94,12,1,4,2
0.555555555556,93,0.033939,0.053998,0.088265,TList (TInt),195,5,3,82,19,1,5,4
0.5,80,0.000396,0.033826,0.034588,TBool,157,4,4,68,14,2,8,4